Configuracion General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Máximo Alumnos,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantidad de Cursos,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nombre Curso,Matematica,Tareas,5,30,0,0,0,0,Proyectos,3,10,0,0,Exámenes,3,60,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nombre Curso,Programacion,Tareas,2,30,0,0,0,0,Proyectos,3,30,0,0,Exámenes,2,40,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nombre Curso,Fisica,Tareas,3,20,0,0,0,0,Proyectos,1,10,0,0,Exámenes,2,70,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nombre Curso,Calculo I,Tareas,5,25,0,0,0,0,Proyectos,2,25,0,0,Exámenes,1,50,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datos Alumnos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantidad de Alumnos,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nombre Alumno,JOSE IGNACIO,MASAYA POZUELOS,2334811,cifuentes@correo.url.edu.gt,Matematica,Tareas,72,58,71,94,96,Proyectos,77,69,59,Examenes,81,72,55,Programacion,Tareas,47,77,52,51,73,Proyectos,86,97,93,Examenes,90,45,87,Fisica,Tareas,92,64,61,86,91,Proyectos,60,78,75,Examenes,61,69,94,Calculo I,Tareas,75,55,63,85,73,Proyectos,52,76,47,Examenes,47,60,93
Nombre Alumno,CARLOS RAÚL,MOLINA LEMUS,3736689,escobar@aol.com,Matematica,Tareas,73,94,54,50,57,Proyectos,95,54,70,Examenes,62,74,59,Programacion,Tareas,70,87,48,70,95,Proyectos,92,60,62,Examenes,53,84,63,Fisica,Tareas,89,97,47,99,91,Proyectos,92,46,83,Examenes,47,93,55,Calculo I,Tareas,92,52,94,94,88,Proyectos,80,61,57,Examenes,76,77,73
Nombre Alumno,RUDY RODRIGO,PAAU TEYUL,1333897,us@correo.url.edu.gt,Matematica,Tareas,84,60,45,77,80,Proyectos,80,56,99,Examenes,52,72,91,Programacion,Tareas,77,59,66,66,68,Proyectos,68,99,51,Examenes,53,60,97,Fisica,Tareas,61,70,90,50,62,Proyectos,77,81,88,Examenes,67,78,88,Calculo I,Tareas,49,99,87,54,77,Proyectos,74,89,92,Examenes,59,78,100
Nombre Alumno,ROSA MARÍA,CIUDAD REAL LAM,758675,ochoa@correo.url.edu.gt,Matematica,Tareas,70,68,57,63,54,Proyectos,55,93,75,Examenes,45,68,58,Programacion,Tareas,70,74,64,52,90,Proyectos,100,89,89,Examenes,55,45,65,Fisica,Tareas,45,74,86,84,59,Proyectos,96,71,70,Examenes,47,48,88,Calculo I,Tareas,57,83,62,69,80,Proyectos,82,53,73,Examenes,72,52,95
Nombre Alumno,PABLO ALEJANDRO,CASTELLANOS TIGÜILA,2291601,morales@correo.url.edu.gt,Matematica,Tareas,66,78,86,47,49,Proyectos,79,56,81,Examenes,62,82,86,Programacion,Tareas,87,76,56,99,62,Proyectos,95,45,91,Examenes,56,47,87,Fisica,Tareas,82,96,52,55,66,Proyectos,76,51,86,Examenes,75,85,93,Calculo I,Tareas,50,60,55,58,48,Proyectos,78,80,87,Examenes,97,47,58
Nombre Alumno,ANDRES ANTONIO,PALOMO GIRON,1307814,castillo@aol.com,Matematica,Tareas,70,47,93,79,47,Proyectos,52,65,97,Examenes,72,47,71,Programacion,Tareas,59,62,98,75,99,Proyectos,83,90,71,Examenes,65,95,48,Fisica,Tareas,67,97,68,84,47,Proyectos,84,85,72,Examenes,73,81,98,Calculo I,Tareas,85,100,84,53,94,Proyectos,91,96,90,Examenes,92,79,56
Nombre Alumno,ROSA GLADYS,QUIROA LIMA,1245702,makepeace@correo.url.edu.gt,Matematica,Tareas,62,97,75,70,73,Proyectos,89,92,73,Examenes,89,82,78,Programacion,Tareas,95,72,82,87,94,Proyectos,49,75,85,Examenes,72,86,72,Fisica,Tareas,50,55,67,73,83,Proyectos,71,79,55,Examenes,66,45,47,Calculo I,Tareas,60,46,83,53,88,Proyectos,68,57,80,Examenes,88,63,67
Nombre Alumno,JORGE MARIO,CHOC HUB,1118878,reyes@aol.com,Matematica,Tareas,74,52,64,85,98,Proyectos,94,78,66,Examenes,98,91,51,Programacion,Tareas,70,83,57,48,77,Proyectos,57,83,98,Examenes,77,80,60,Fisica,Tareas,79,89,62,79,66,Proyectos,62,50,53,Examenes,47,59,94,Calculo I,Tareas,45,99,56,45,51,Proyectos,76,85,62,Examenes,92,62,80
Nombre Alumno,OSWALDO FRANCISCO,ITZEP MERETZ,2102414,coronado@correo.url.edu.gt,Matematica,Tareas,85,78,79,71,54,Proyectos,57,93,51,Examenes,70,100,89,Programacion,Tareas,49,82,95,63,59,Proyectos,46,68,79,Examenes,72,64,53,Fisica,Tareas,53,100,99,73,67,Proyectos,95,96,99,Examenes,84,57,54,Calculo I,Tareas,83,85,59,65,77,Proyectos,95,70,51,Examenes,46,57,94
Nombre Alumno,GABRIELA SOLEDAD,SOTO FORNO,3222587,moreno@correo.url.edu.gt,Matematica,Tareas,70,72,48,51,96,Proyectos,78,95,49,Examenes,56,56,94,Programacion,Tareas,77,89,54,47,87,Proyectos,63,84,100,Examenes,71,78,90,Fisica,Tareas,46,97,83,66,62,Proyectos,100,49,86,Examenes,91,45,100,Calculo I,Tareas,50,94,62,90,53,Proyectos,49,64,97,Examenes,88,67,80
